
___________________________________________________________________

GenoDive 3.01, 2021-11-24 11:02:23 +0000
Amova: Analysis of Molecular Variance (Excoffier et al., 1995)
File: TrkNbr-1524n1282n1083_AllPops_PGDSpider_p14_r080_LDnHWEx__genepopRF.txt
178 of 178 individuals included, 8480 of 8480 loci included
Used an Infinite Allele Model, so the reported statistics are equivalent to Fst
Significance was tested using 999 permutations


– AMOVA summary:

Source of Variation	Nested in	%var	F-stat	F-value	Std.Dev.	c.i.2.5%	c.i.97.5%	P-value	F'-value
Within Individual 	--	0.782	F_it	0.218	0.003	0.211	0.225	--	--
Among Individual 	Population 	0.063	F_is	0.074	0.004	0.065	0.083	0.001	--
Among Population 	--	0.155	F_st	0.155	0.002	0.151	0.159	0.001	0.159

Standard deviations of F-statistics were obtained through jackknifing over loci.
95% confidence intervals of F-statistics were obtained through bootstrapping over loci.


– AMOVA table per locus:

Locus	Source of Variation	Nested in	SSD	d.f.	MS	Var-comp	%Var	F-stat	F-value	P-value	F(max)	F'-value
	Among Population   	--	0.207	13	0.016	0.000	0.064	F_st	0.064	0.029	0.986	0.065

8211_10	Within Individual   	--	1.000	173	0.006	0.006	0.999	F_it	0.001	--	--	--
	Among Individual   	Population 	0.750	155	0.005	-0.000	-0.081	F_is	-0.089	1.000	--	--
	Among Population   	--	0.238	17	0.014	0.000	0.083	F_st	0.083	0.007	0.989	0.083

8244_32	Within Individual   	--	1.500	129	0.012	0.012	0.598	F_it	0.402	--	--	--
	Among Individual   	Population 	1.938	115	0.017	0.003	0.134	F_is	0.183	0.576	--	--
	Among Population   	--	1.466	13	0.113	0.005	0.268	F_st	0.268	0.001	0.972	0.276

8292_37	Within Individual   	--	2.000	136	0.015	0.015	0.677	F_it	0.323	--	--	--
	Among Individual   	Population 	3.242	121	0.027	0.006	0.278	F_is	0.291	0.188	--	--
	Among Population   	--	0.626	14	0.045	0.001	0.045	F_st	0.045	0.044	0.958	0.047

8352_21	Within Individual   	--	0.500	153	0.003	0.003	0.999	F_it	0.001	--	--	--
	Among Individual   	Population 	0.438	137	0.003	-0.000	-0.011	F_is	-0.012	1.000	--	--
	Among Population   	--	0.059	15	0.004	0.000	0.012	F_st	0.012	0.091	0.994	0.012

8394_14	Within Individual   	--	2.000	174	0.011	0.011	0.997	F_it	0.003	--	--	--
	Among Individual   	Population 	1.000	156	0.006	-0.003	-0.221	F_is	-0.284	1.000	--	--
	Among Population   	--	0.954	17	0.056	0.003	0.223	F_st	0.223	0.001	0.982	0.227

8400_17	Within Individual   	--	0.000	140	0.000	0.000	0.000	F_it	1.000	--	--	--
	Among Individual   	Population 	1.750	125	0.014	0.007	0.979	F_is	1.000	0.068	--	--
	Among Population   	--	0.236	14	0.017	0.000	0.021	F_st	0.021	0.165	0.986	0.022

8414_6	Within Individual   	--	2.500	158	0.016	0.016	0.715	F_it	0.285	--	--	--
	Among Individual   	Population 	2.050	141	0.015	-0.001	-0.029	F_is	-0.042	0.792	--	--
	Among Population   	--	2.295	16	0.143	0.007	0.314	F_st	0.314	0.001	0.970	0.323

8519_44	Within Individual   	--	3.000	142	0.021	0.021	0.751	F_it	0.249	--	--	--
	Among Individual   	Population 	1.800	127	0.014	-0.003	-0.124	F_is	-0.197	0.905	--	--
	Among Population   	--	2.975	14	0.212	0.010	0.373	F_st	0.373	0.001	0.965	0.386

8687_6	Within Individual   	--	2.000	151	0.013	0.013	0.667	F_it	0.333	--	--	--
	Among Individual   	Population 	2.200	135	0.016	0.002	0.077	F_is	0.103	0.652	--	--
	Among Population   	--	1.681	15	0.112	0.005	0.256	F_st	0.256	0.001	0.970	0.264

8688_66	Within Individual   	--	1.000	140	0.007	0.007	0.999	F_it	0.001	--	--	--
	Among Individual   	Population 	0.750	125	0.006	-0.001	-0.080	F_is	-0.087	1.000	--	--
	Among Population   	--	0.236	14	0.017	0.001	0.081	F_st	0.081	0.012	0.987	0.082

8953_42	Within Individual   	--	3.000	125	0.024	0.024	0.761	F_it	0.239	--	--	--
	Among Individual   	Population 	2.894	111	0.026	0.001	0.033	F_is	0.041	0.718	--	--
	Among Population   	--	1.850	13	0.142	0.007	0.206	F_st	0.206	0.001	0.950	0.217

9074_9	Within Individual   	--	0.500	152	0.003	0.003	1.000	F_it	-0.000	--	--	--
	Among Individual   	Population 	0.450	136	0.003	0.000	0.003	F_is	0.003	1.000	--	--
	Among Population   	--	0.047	15	0.003	-0.000	-0.003	F_st	-0.003	1.000	0.993	-0.003

9160_37	Within Individual   	--	0.000	136	0.000	0.000	0.000	F_it	1.000	--	--	--
	Among Individual   	Population 	1.800	122	0.015	0.007	1.004	F_is	1.000	0.046	--	--
	Among Population   	--	0.185	13	0.014	-0.000	-0.004	F_st	-0.004	1.000	0.985	-0.004

9280_28	Within Individual   	--	1.000	127	0.008	0.008	1.001	F_it	-0.001	--	--	--
	Among Individual   	Population 	0.800	113	0.007	-0.000	-0.050	F_is	-0.053	1.000	--	--
	Among Population   	--	0.184	13	0.014	0.000	0.050	F_st	0.050	0.071	0.985	0.050

9391_14	Within Individual   	--	0.500	130	0.004	0.004	0.333	F_it	0.667	--	--	--
	Among Individual   	Population 	1.938	116	0.017	0.006	0.556	F_is	0.626	0.189	--	--
	Among Population   	--	0.528	13	0.041	0.001	0.111	F_st	0.111	0.009	0.979	0.114

9415_63	Within Individual   	--	0.500	126	0.004	0.004	0.333	F_it	0.667	--	--	--
	Among Individual   	Population 	1.938	112	0.017	0.007	0.559	F_is	0.627	0.180	--	--
	Among Population   	--	0.527	13	0.041	0.001	0.108	F_st	0.108	0.021	0.979	0.111

9846_20	Within Individual   	--	2.000	123	0.016	0.016	0.676	F_it	0.324	--	--	--
	Among Individual   	Population 	2.978	109	0.027	0.006	0.230	F_is	0.254	0.358	--	--
	Among Population   	--	0.876	13	0.067	0.002	0.095	F_st	0.095	0.014	0.956	0.099

9880_31	Within Individual   	--	5.500	150	0.037	0.037	0.677	F_it	0.323	--	--	--
	Among Individual   	Population 	7.333	134	0.055	0.009	0.167	F_is	0.198	0.204	--	--
	Among Population   	--	3.203	15	0.214	0.008	0.156	F_st	0.156	0.001	0.909	0.172

9927_65	Within Individual   	--	0.500	139	0.004	0.004	0.335	F_it	0.665	--	--	--
	Among Individual   	Population 	2.228	124	0.018	0.007	0.669	F_is	0.666	0.062	--	--
	Among Population   	--	0.240	14	0.017	-0.000	-0.004	F_st	-0.004	0.397	0.978	-0.004

10010_11	Within Individual   	--	5.500	133	0.041	0.041	0.879	F_it	0.121	--	--	--
	Among Individual   	Population 	4.693	118	0.040	-0.001	-0.017	F_is	-0.019	0.740	--	--
	Among Population   	--	2.172	14	0.155	0.007	0.138	F_st	0.138	0.001	0.919	0.150

10223_10	Within Individual   	--	3.000	149	0.020	0.020	1.009	F_it	-0.009	--	--	--
	Among Individual   	Population 	1.861	133	0.014	-0.003	-0.154	F_is	-0.180	1.000	--	--
	Among Population   	--	1.018	15	0.068	0.003	0.145	F_st	0.145	0.001	0.966	0.150

10284_21	Within Individual   	--	2.500	157	0.016	0.016	1.006	F_it	-0.006	--	--	--
	Among Individual   	Population 	1.650	140	0.012	-0.002	-0.131	F_is	-0.149	1.000	--	--
	Among Population   	--	0.770	16	0.048	0.002	0.124	F_st	0.124	0.002	0.972	0.128

10360_26	Within Individual   	--	0.500	124	0.004	0.004	1.000	F_it	-0.000	--	--	--
	Among Individual   	Population 	0.444	110	0.004	0.000	0.001	F_is	0.001	1.000	--	--
	Among Population   	--	0.052	13	0.004	-0.000	-0.001	F_st	-0.001	0.722	0.992	-0.001

10710_74	Within Individual   	--	0.500	132	0.004	0.004	1.000	F_it	-0.000	--	--	--
	Among Individual   	Population 	0.450	118	0.004	0.000	0.003	F_is	0.003	1.000	--	--
	Among Population   	--	0.046	13	0.004	-0.000	-0.004	F_st	-0.004	1.000	0.992	-0.004

10728_33	Within Individual   	--	0.500	147	0.003	0.003	1.000	F_it	0.000	--	--	--
	Among Individual   	Population 	0.444	131	0.003	-0.000	-0.001	F_is	-0.001	1.000	--	--
	Among Population   	--	0.052	15	0.003	0.000	0.001	F_st	0.001	0.536	0.993	0.001

10740_14	Within Individual   	--	1.000	132	0.008	0.008	1.000	F_it	0.000	--	--	--
	Among Individual   	Population 	0.778	118	0.007	-0.000	-0.065	F_is	-0.069	1.000	--	--
	Among Population   	--	0.207	13	0.016	0.000	0.065	F_st	0.065	0.028	0.986	0.066

10937_31	Within Individual   	--	3.500	131	0.027	0.027	0.651	F_it	0.349	--	--	--
	Among Individual   	Population 	4.161	117	0.036	0.004	0.108	F_is	0.142	0.452	--	--
	Among Population   	--	2.877	13	0.221	0.010	0.242	F_st	0.242	0.001	0.938	0.258

10966_15	Within Individual   	--	2.000	130	0.015	0.015	1.005	F_it	-0.005	--	--	--
	Among Individual   	Population 	1.382	116	0.012	-0.002	-0.113	F_is	-0.127	1.000	--	--
	Among Population   	--	0.557	13	0.043	0.002	0.109	F_st	0.109	0.004	0.973	0.112

11163_16	Within Individual   	--	1.500	164	0.009	0.009	1.000	F_it	0.000	--	--	--
	Among Individual   	Population 	1.000	146	0.007	-0.001	-0.126	F_is	-0.144	1.000	--	--
	Among Population   	--	0.473	17	0.028	0.001	0.126	F_st	0.126	0.002	0.984	0.128

11208_64	Within Individual   	--	2.000	158	0.013	0.013	1.001	F_it	-0.001	--	--	--
	Among Individual   	Population 	1.200	141	0.009	-0.002	-0.164	F_is	-0.196	1.000	--	--
	Among Population   	--	0.749	16	0.047	0.002	0.163	F_st	0.163	0.001	0.979	0.167

11296_59	Within Individual   	--	3.500	126	0.028	0.028	0.791	F_it	0.209	--	--	--
	Among Individual   	Population 	2.944	112	0.026	-0.001	-0.021	F_is	-0.028	0.809	--	--
	Among Population   	--	2.234	13	0.172	0.008	0.230	F_st	0.230	0.001	0.946	0.244

11446_48	Within Individual   	--	5.000	146	0.034	0.034	1.028	F_it	-0.028	--	--	--
	Among Individual   	Population 	3.543	130	0.027	-0.003	-0.105	F_is	-0.114	1.000	--	--
	Among Population   	--	1.114	15	0.074	0.003	0.077	F_st	0.077	0.005	0.938	0.082

11486_9	Within Individual   	--	0.500	159	0.003	0.003	1.000	F_it	-0.000	--	--	--
	Among Individual   	Population 	0.450	142	0.003	0.000	0.004	F_is	0.004	1.000	--	--
	Among Population   	--	0.047	16	0.003	-0.000	-0.004	F_st	-0.004	1.000	0.994	-0.004

11518_30	Within Individual   	--	2.500	163	0.015	0.015	0.723	F_it	0.277	--	--	--
	Among Individual   	Population 	3.250	146	0.022	0.003	0.163	F_is	0.184	0.419	--	--
	Among Population   	--	1.100	16	0.069	0.002	0.114	F_st	0.114	0.003	0.962	0.119

11575_53	Within Individual   	--	0.500	125	0.004	0.004	0.333	F_it	0.667	--	--	--
	Among Individual   	Population 	1.938	111	0.017	0.007	0.560	F_is	0.627	0.210	--	--
	Among Population   	--	0.527	13	0.041	0.001	0.107	F_st	0.107	0.018	0.979	0.110

11768_24	Within Individual   	--	1.000	126	0.008	0.008	1.000	F_it	0.000	--	--	--
	Among Individual   	Population 	0.778	112	0.007	-0.000	-0.062	F_is	-0.067	1.000	--	--
	Among Population   	--	0.206	13	0.016	0.000	0.063	F_st	0.063	0.034	0.985	0.063

11920_53	Within Individual   	--	1.500	139	0.011	0.011	0.601	F_it	0.399	--	--	--
	Among Individual   	Population 	2.250	124	0.018	0.004	0.205	F_is	0.254	0.475	--	--
	Among Population   	--	1.160	14	0.083	0.003	0.195	F_st	0.195	0.001	0.971	0.200

11991_31	Within Individual   	--	1.500	170	0.009	0.009	1.004	F_it	-0.004	--	--	--
	Among Individual   	Population 	1.250	152	0.008	-0.000	-0.034	F_is	-0.035	1.000	--	--
	Among Population   	--	0.224	17	0.013	0.000	0.030	F_st	0.030	0.133	0.983	0.030

12051_37	Within Individual   	--	0.500	126	0.004	0.004	0.999	F_it	0.001	--	--	--
	Among Individual   	Population 	0.438	112	0.004	-0.000	-0.008	F_is	-0.008	1.000	--	--
	Among Population   	--	0.059	13	0.005	0.000	0.008	F_st	0.008	0.180	0.992	0.008

12311_11	Within Individual   	--	1.500	129	0.012	0.012	0.998	F_it	0.002	--	--	--
	Among Individual   	Population 	0.938	115	0.008	-0.002	-0.149	F_is	-0.176	1.000	--	--
	Among Population   	--	0.528	13	0.041	0.002	0.151	F_st	0.151	0.001	0.980	0.154

12583_20	Within Individual   	--	3.000	154	0.019	0.019	0.614	F_it	0.386	--	--	--
	Among Individual   	Population 	5.256	138	0.038	0.009	0.293	F_is	0.323	0.082	--	--
	Among Population   	--	1.419	15	0.095	0.003	0.093	F_st	0.093	0.012	0.942	0.098

12674_68	Within Individual   	--	2.000	162	0.012	0.012	0.497	F_it	0.503	--	--	--
	Among Individual   	Population 	2.000	145	0.014	0.001	0.029	F_is	0.055	0.699	--	--
	Among Population   	--	3.802	16	0.238	0.012	0.473	F_st	0.473	0.001	0.974	0.486

12766_17	Within Individual   	--	0.500	174	0.003	0.003	1.000	F_it	0.000	--	--	--
	Among Individual   	Population 	0.444	156	0.003	-0.000	-0.004	F_is	-0.004	1.000	--	--
	Among Population   	--	0.053	17	0.003	0.000	0.004	F_st	0.004	0.215	0.994	0.005

13157_12	Within Individual   	--	0.500	138	0.004	0.004	1.000	F_it	0.000	--	--	--
	Among Individual   	Population 	0.444	123	0.004	-0.000	-0.001	F_is	-0.001	1.000	--	--
	Among Population   	--	0.052	14	0.004	0.000	0.001	F_st	0.001	0.499	0.993	0.001

13164_33	Within Individual   	--	0.000	162	0.000	0.000	0.000	F_it	1.000	--	--	--
	Among Individual   	Population 	1.800	145	0.012	0.006	1.006	F_is	1.000	0.063	--	--
	Among Population   	--	0.188	16	0.012	-0.000	-0.006	F_st	-0.006	1.000	0.988	-0.006

13201_38	Within Individual   	--	3.000	131	0.023	0.023	1.019	F_it	-0.019	--	--	--
	Among Individual   	Population 	2.554	117	0.022	-0.001	-0.024	F_is	-0.024	1.000	--	--
	Among Population   	--	0.308	13	0.024	0.000	0.005	F_st	0.005	0.293	0.955	0.005

13291_58	Within Individual   	--	0.500	150	0.003	0.003	0.999	F_it	0.001	--	--	--
	Among Individual   	Population 	0.438	134	0.003	-0.000	-0.010	F_is	-0.010	1.000	--	--
	Among Population   	--	0.059	15	0.004	0.000	0.011	F_st	0.011	0.101	0.993	0.011

13292_57	Within Individual   	--	1.000	140	0.007	0.007	1.004	F_it	-0.004	--	--	--
	Among Individual   	Population 	0.894	125	0.007	0.000	0.001	F_is	0.001	1.000	--	--
	Among Population   	--	0.091	14	0.007	-0.000	-0.005	F_st	-0.005	0.706	0.986	-0.005

13374_40	Within Individual   	--	1.000	138	0.007	0.007	0.502	F_it	0.498	--	--	--
	Among Individual   	Population 	2.382	123	0.019	0.006	0.420	F_is	0.455	0.208	--	--
	Among Population   	--	0.560	14	0.040	0.001	0.078	F_st	0.078	0.023	0.973	0.080

13496_14	Within Individual   	--	2.000	169	0.012	0.012	0.666	F_it	0.334	--	--	--
	Among Individual   	Population 	2.000	151	0.013	0.001	0.040	F_is	0.056	0.691	--	--
	Among Population   	--	1.893	17	0.111	0.005	0.294	F_st	0.294	0.001	0.975	0.302

13688_5	Within Individual   	--	0.500	142	0.004	0.004	0.333	F_it	0.667	--	--	--
	Among Individual   	Population 	2.000	127	0.016	0.006	0.578	F_is	0.635	0.183	--	--
	Among Population   	--	0.468	14	0.033	0.001	0.088	F_st	0.088	0.023	0.981	0.090

13718_9	Within Individual   	--	1.500	129	0.012	0.012	1.006	F_it	-0.006	--	--	--
	Among Individual   	Population 	1.250	115	0.011	-0.000	-0.033	F_is	-0.034	1.000	--	--
	Among Population   	--	0.215	13	0.017	0.000	0.027	F_st	0.027	0.179	0.978	0.027

13743_23	Within Individual   	--	1.500	129	0.012	0.012	1.000	F_it	0.000	--	--	--
	Among Individual   	Population 	1.000	115	0.009	-0.001	-0.126	F_is	-0.144	1.000	--	--
	Among Population   	--	0.465	13	0.036	0.001	0.126	F_st	0.126	0.002	0.980	0.129

13799_22	Within Individual   	--	0.500	140	0.004	0.004	0.999	F_it	0.001	--	--	--
	Among Individual   	Population 	0.438	125	0.004	-0.000	-0.010	F_is	-0.010	1.000	--	--
	Among Population   	--	0.059	14	0.004	0.000	0.011	F_st	0.011	0.198	0.993	0.011

13954_72	Within Individual   	--	0.500	132	0.004	0.004	0.333	F_it	0.667	--	--	--
	Among Individual   	Population 	2.000	118	0.017	0.007	0.579	F_is	0.635	0.192	--	--
	Among Population   	--	0.466	13	0.036	0.001	0.088	F_st	0.088	0.025	0.979	0.090

14096_5	Within Individual   	--	3.500	141	0.025	0.025	0.796	F_it	0.204	--	--	--
	Among Individual   	Population 	4.122	126	0.033	0.004	0.127	F_is	0.137	0.367	--	--
	Among Population   	--	1.090	14	0.078	0.002	0.077	F_st	0.077	0.012	0.942	0.082

14172_59	Within Individual   	--	1.000	125	0.008	0.008	0.500	F_it	0.500	--	--	--
	Among Individual   	Population 	2.111	111	0.019	0.006	0.344	F_is	0.408	0.332	--	--
	Among Population   	--	0.825	13	0.063	0.002	0.156	F_st	0.156	0.002	0.973	0.160

14214_24	Within Individual   	--	1.000	137	0.007	0.007	1.004	F_it	-0.004	--	--	--
	Among Individual   	Population 	0.900	122	0.007	0.000	0.005	F_is	0.005	1.000	--	--
	Among Population   	--	0.085	14	0.006	-0.000	-0.010	F_st	-0.010	1.000	0.985	-0.010

14275_27	Within Individual   	--	1.500	144	0.010	0.010	0.607	F_it	0.393	--	--	--
	Among Individual   	Population 	3.028	129	0.023	0.007	0.380	F_is	0.385	0.122	--	--
	Among Population   	--	0.385	14	0.028	0.000	0.012	F_st	0.012	0.251	0.966	0.013

14288_48	Within Individual   	--	1.000	142	0.007	0.007	0.499	F_it	0.501	--	--	--
	Among Individual   	Population 	2.000	127	0.016	0.004	0.308	F_is	0.382	0.402	--	--
	Among Population   	--	0.944	14	0.067	0.003	0.193	F_st	0.193	0.002	0.977	0.198

14339_23	Within Individual   	--	1.000	146	0.007	0.007	1.001	F_it	-0.001	--	--	--
	Among Individual   	Population 	0.800	130	0.006	-0.000	-0.051	F_is	-0.053	1.000	--	--
	Among Population   	--	0.186	15	0.012	0.000	0.050	F_st	0.050	0.056	0.987	0.051

14394_41	Within Individual   	--	0.500	174	0.003	0.003	1.000	F_it	-0.000	--	--	--
	Among Individual   	Population 	0.450	156	0.003	0.000	0.002	F_is	0.002	1.000	--	--
	Among Population   	--	0.047	17	0.003	-0.000	-0.002	F_st	-0.002	1.000	0.994	-0.002

14403_28	Within Individual   	--	1.000	154	0.006	0.006	1.004	F_it	-0.004	--	--	--
	Among Individual   	Population 	0.900	138	0.007	0.000	0.002	F_is	0.002	1.000	--	--
	Among Population   	--	0.087	15	0.006	-0.000	-0.006	F_st	-0.006	1.000	0.987	-0.006

14579_32	Within Individual   	--	0.500	137	0.004	0.004	1.000	F_it	0.000	--	--	--
	Among Individual   	Population 	0.444	122	0.004	-0.000	-0.001	F_is	-0.001	1.000	--	--
	Among Population   	--	0.052	14	0.004	0.000	0.001	F_st	0.001	0.516	0.993	0.001

14599_8	Within Individual   	--	1.500	129	0.012	0.012	1.000	F_it	0.000	--	--	--
	Among Individual   	Population 	1.000	115	0.009	-0.001	-0.126	F_is	-0.144	1.000	--	--
	Among Population   	--	0.465	13	0.036	0.001	0.126	F_st	0.126	0.003	0.980	0.129

14641_10	Within Individual   	--	0.500	133	0.004	0.004	1.000	F_it	-0.000	--	--	--
	Among Individual   	Population 	0.450	119	0.004	0.000	0.003	F_is	0.003	1.000	--	--
	Among Population   	--	0.046	13	0.004	-0.000	-0.003	F_st	-0.003	1.000	0.992	-0.003

14652_28	Within Individual   	--	4.500	151	0.030	0.030	1.010	F_it	-0.010	--	--	--
	Among Individual   	Population 	1.578	135	0.012	-0.009	-0.307	F_is	-0.437	1.000	--	--
	Among Population   	--	2.654	15	0.177	0.009	0.297	F_st	0.297	0.001	0.959	0.310

14929_13	Within Individual   	--	1.000	157	0.006	0.006	0.500	F_it	0.500	--	--	--
	Among Individual   	Population 	2.200	140	0.016	0.005	0.367	F_is	0.423	0.310	--	--
	Among Population   	--	0.749	16	0.047	0.002	0.132	F_st	0.132	0.005	0.978	0.135

14974_23	Within Individual   	--	0.500	125	0.004	0.004	1.000	F_it	-0.000	--	--	--
	Among Individual   	Population 	0.444	111	0.004	0.000	0.001	F_is	0.001	1.000	--	--
	Among Population   	--	0.052	13	0.004	-0.000	-0.001	F_st	-0.001	0.600	0.992	-0.001

14996_24	Within Individual   	--	1.500	142	0.011	0.011	0.998	F_it	0.002	--	--	--
	Among Individual   	Population 	0.938	127	0.007	-0.002	-0.150	F_is	-0.177	1.000	--	--
	Among Population   	--	0.531	14	0.038	0.002	0.152	F_st	0.152	0.001	0.982	0.155

15016_33	Within Individual   	--	0.500	129	0.004	0.004	0.999	F_it	0.001	--	--	--
	Among Individual   	Population 	0.438	115	0.004	-0.000	-0.009	F_is	-0.009	1.000	--	--
	Among Population   	--	0.059	13	0.005	0.000	0.010	F_st	0.010	0.127	0.992	0.010

15020_5	Within Individual   	--	7.000	132	0.053	0.053	0.742	F_it	0.258	--	--	--
	Among Individual   	Population 	6.500	118	0.055	0.001	0.014	F_is	0.019	0.633	--	--
	Among Population   	--	4.985	13	0.383	0.017	0.244	F_st	0.244	0.001	0.892	0.273

15080_13	Within Individual   	--	2.000	148	0.014	0.014	1.001	F_it	-0.001	--	--	--
	Among Individual   	Population 	1.200	132	0.009	-0.002	-0.164	F_is	-0.196	1.000	--	--
	Among Population   	--	0.746	15	0.050	0.002	0.163	F_st	0.163	0.001	0.977	0.167

15220_23	Within Individual   	--	0.000	140	0.000	0.000	0.000	F_it	1.000	--	--	--
	Among Individual   	Population 	1.800	124	0.015	0.007	1.017	F_is	1.000	0.051	--	--
	Among Population   	--	0.186	15	0.012	-0.000	-0.017	F_st	-0.017	1.000	0.985	-0.017

15225_18	Within Individual   	--	1.000	134	0.007	0.007	1.000	F_it	-0.000	--	--	--
	Among Individual   	Population 	0.800	120	0.007	-0.000	-0.053	F_is	-0.056	1.000	--	--
	Among Population   	--	0.185	13	0.014	0.000	0.053	F_st	0.053	0.064	0.986	0.054

15450_13	Within Individual   	--	0.500	132	0.004	0.004	1.000	F_it	0.000	--	--	--
	Among Individual   	Population 	0.444	118	0.004	-0.000	-0.003	F_is	-0.003	1.000	--	--
	Among Population   	--	0.052	13	0.004	0.000	0.003	F_st	0.003	0.489	0.992	0.003

15589_9	Within Individual   	--	0.500	142	0.004	0.004	1.000	F_it	0.000	--	--	--
	Among Individual   	Population 	0.444	127	0.003	-0.000	-0.003	F_is	-0.003	1.000	--	--
	Among Population   	--	0.052	14	0.004	0.000	0.003	F_st	0.003	0.384	0.993	0.003

15776_19	Within Individual   	--	4.500	130	0.035	0.035	0.843	F_it	0.157	--	--	--
	Among Individual   	Population 	4.144	116	0.036	0.001	0.014	F_is	0.016	0.694	--	--
	Among Population   	--	1.890	13	0.145	0.006	0.144	F_st	0.144	0.002	0.930	0.155

15960_6	Within Individual   	--	0.500	129	0.004	0.004	1.000	F_it	0.000	--	--	--
	Among Individual   	Population 	0.444	115	0.004	-0.000	-0.001	F_is	-0.001	1.000	--	--
	Among Population   	--	0.052	13	0.004	0.000	0.002	F_st	0.002	0.574	0.992	0.002

15987_24	Within Individual   	--	0.500	153	0.003	0.003	1.000	F_it	0.000	--	--	--
	Among Individual   	Population 	0.444	137	0.003	-0.000	-0.004	F_is	-0.004	1.000	--	--
	Among Population   	--	0.052	15	0.003	0.000	0.004	F_st	0.004	0.335	0.993	0.004

16067_83	Within Individual   	--	0.000	129	0.000	0.000	0.000	F_it	1.000	--	--	--
	Among Individual   	Population 	1.778	115	0.015	0.008	0.997	F_is	1.000	0.062	--	--
	Among Population   	--	0.207	13	0.016	0.000	0.003	F_st	0.003	0.547	0.985	0.003

16121_32	Within Individual   	--	1.500	141	0.011	0.011	1.001	F_it	-0.001	--	--	--
	Among Individual   	Population 	1.050	126	0.008	-0.001	-0.108	F_is	-0.121	1.000	--	--
	Among Population   	--	0.418	14	0.030	0.001	0.108	F_st	0.108	0.003	0.981	0.110

16249_67	Within Individual   	--	2.500	128	0.020	0.020	0.721	F_it	0.279	--	--	--
	Among Individual   	Population 	2.715	114	0.024	0.002	0.079	F_is	0.099	0.611	--	--
	Among Population   	--	1.593	13	0.123	0.005	0.200	F_st	0.200	0.001	0.957	0.209

16285_24	Within Individual   	--	2.000	167	0.012	0.012	0.999	F_it	0.001	--	--	--
	Among Individual   	Population 	1.111	149	0.007	-0.002	-0.189	F_is	-0.233	1.000	--	--
	Among Population   	--	0.841	17	0.049	0.002	0.189	F_st	0.189	0.001	0.981	0.193

16321_80	Within Individual   	--	0.000	129	0.000	0.000	0.000	F_it	1.000	--	--	--
	Among Individual   	Population 	1.800	115	0.016	0.008	1.010	F_is	1.000	0.044	--	--
	Among Population   	--	0.184	13	0.014	-0.000	-0.010	F_st	-0.010	1.000	0.984	-0.010

16596_29	Within Individual   	--	1.000	129	0.008	0.008	0.999	F_it	0.001	--	--	--
	Among Individual   	Population 	0.750	115	0.007	-0.001	-0.079	F_is	-0.086	1.000	--	--
	Among Population   	--	0.234	13	0.018	0.001	0.081	F_st	0.081	0.010	0.986	0.082

16652_52	Within Individual   	--	2.000	133	0.015	0.015	0.507	F_it	0.493	--	--	--
	Among Individual   	Population 	3.978	119	0.033	0.009	0.310	F_is	0.379	0.158	--	--
	Among Population   	--	1.782	13	0.137	0.005	0.184	F_st	0.184	0.001	0.952	0.193

16863_11	Within Individual   	--	0.500	159	0.003	0.003	1.000	F_it	0.000	--	--	--
	Among Individual   	Population 	0.444	142	0.003	-0.000	-0.002	F_is	-0.002	1.000	--	--
	Among Population   	--	0.052	16	0.003	0.000	0.002	F_st	0.002	0.275	0.994	0.002

16997_6	Within Individual   	--	0.500	154	0.003	0.003	1.000	F_it	0.000	--	--	--
	Among Individual   	Population 	0.444	138	0.003	-0.000	-0.004	F_is	-0.004	1.000	--	--
	Among Population   	--	0.052	15	0.003	0.000	0.004	F_st	0.004	0.288	0.994	0.004

17026_14	Within Individual   	--	1.000	138	0.007	0.007	1.000	F_it	0.000	--	--	--
	Among Individual   	Population 	0.778	123	0.006	-0.000	-0.064	F_is	-0.068	1.000	--	--
	Among Population   	--	0.208	14	0.015	0.000	0.064	F_st	0.064	0.035	0.986	0.065

17039_50	Within Individual   	--	5.500	144	0.038	0.038	0.881	F_it	0.119	--	--	--
